Date,RPRX,SGOV,SHV,BIL,SNX,MINT,TRGP,QRVO,LNG,USFR
2025-01-02,25.15610000,96.31500000,105.72100000,87.76050000,114.93600000,96.12520000,179.09300000,69.76000000,218.58000000,48.43870000
2025-01-03,25.20490000,96.34380000,105.75000000,87.77010000,116.36700000,96.17310000,182.13600000,70.63000000,220.44300000,48.44830000
2025-01-06,25.11710000,96.34380000,105.76900000,87.77970000,116.73200000,96.19220000,182.12600000,72.14000000,221.86000000,48.45800000
2025-01-07,25.40000000,96.36300000,105.78800000,87.79890000,121.59600000,96.18270000,183.75000000,73.63000000,221.46400000,48.46760000
2025-01-08,25.55600000,96.38220000,105.78800000,87.81810000,120.48100000,96.22100000,187.82000000,73.08000000,223.12800000,48.47720000
2025-01-10,28.76520000,96.42060000,105.81700000,87.84680000,132.23400000,96.23060000,189.11200000,71.69000000,223.15800000,48.50610000
2025-01-13,29.25290000,96.43980000,105.83600000,87.85640000,131.07900000,96.24970000,193.19100000,71.91000000,227.33900000,48.51570000
2025-01-14,29.29190000,96.44940000,105.84600000,87.87560000,134.23700000,96.26890000,197.01700000,72.82000000,240.86400000,48.53490000
2025-01-15,29.98450000,96.45900000,105.86500000,87.88520000,134.45400000,96.29760000,201.04700000,74.16000000,243.62900000,48.53490000
2025-01-16,30.18930000,96.45900000,105.87500000,87.88520000,135.35200000,96.32640000,208.33600000,73.59000000,251.33800000,48.53490000
2025-01-17,29.99420000,96.50700000,105.92300000,87.93320000,135.28300000,96.37430000,211.04600000,84.21000000,250.44600000,48.55420000
2025-01-21,29.55530000,96.51660000,105.94200000,87.93320000,138.90400000,96.37430000,212.51300000,87.58000000,247.34400000,48.56380000
2025-01-22,29.34070000,96.53580000,105.94200000,87.95240000,139.62400000,96.39340000,206.69200000,87.09000000,231.22300000,48.55420000
2025-01-23,29.86740000,96.54540000,105.96100000,87.95240000,141.29200000,96.41260000,206.81000000,90.57000000,232.14500000,48.56380000
2025-01-24,30.29660000,96.57420000,106.00000000,87.99080000,141.04400000,96.46050000,204.54000000,88.94000000,229.73700000,48.58310000
2025-01-27,30.94040000,96.57420000,106.01900000,88.00040000,139.74800000,96.46050000,194.92300000,87.63000000,222.40500000,48.59270000
2025-01-28,31.15500000,96.60300000,106.02800000,88.00040000,140.34200000,96.46050000,197.98500000,85.78000000,224.39700000,48.60430000
